time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.23035e-314	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.779273	0.612181	7.56697	1.33681e-17	-3.26786e-17	radar	8.28453	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.13215	0.516287	7.76601	-0.339203	-0.0316111	lidar	0.50778	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.26091	0.558544	6.85432	-0.139041	-0.0126291	radar	2.33183	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61665	0.545908	6.79687	-0.0790212	0.0345531	lidar	0.508424	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.8325	0.560691	5.64095	-0.0232846	-0.0474574	radar	1.70587	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.13592	0.576966	5.63667	-0.00181917	0.0153165	lidar	0.486748	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.34625	0.634736	5.31186	0.0813715	0.232405	radar	3.06114	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.61971	0.658823	5.32591	0.0916146	0.225266	lidar	0.0768777	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.88792	0.656622	5.33657	0.0632763	0.0806399	radar	0.117437	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.12286	0.665218	5.30142	0.0646006	0.0724366	lidar	0.730701	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.41362	0.561425	5.3582	-0.0882662	-0.408532	radar	2.15607	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.72189	0.456556	5.43869	-0.207428	-0.685451	lidar	3.08298	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.99938	0.536912	5.46296	-0.0835077	-0.266052	radar	3.24901	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.27587	0.533918	5.46103	-0.0763242	-0.217484	lidar	0.190723	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.53314	0.574602	5.35248	-0.0332609	-0.101713	radar	1.33192	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.71775	0.688427	5.18186	0.0711009	0.122351	lidar	10.4237	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.9693	0.687227	5.08321	0.0605271	0.0910336	radar	1.571	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27227	0.679015	5.16356	0.0436944	0.0519851	lidar	3.33031	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53258	0.685575	5.25116	0.0436701	0.0478158	radar	1.69961	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.83101	0.696998	5.30871	0.0438947	0.0440338	lidar	1.94102	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07267	0.626494	5.16758	-0.00845959	-0.0421778	radar	3.94299	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
